,Close_Time,Open,Close,High,Low,Volume,bb_l,position,entry_p,stop_loss,take_profit,size,exit_p,amt
0,2023-01-02 11:44:59,1196.9,1197.73,1197.84,1196.9,732.6292,1194.159451172998,Buy,1196.91,1196.5268314562882,1201.69764,1.0,,1196.91
1,2023-01-02 11:59:59,1197.72,1201.94,1203.53,1197.4,5749.0388,1194.2081313696417,Sell,,,,-1.0,1201.69764,-1201.6976
2,2023-01-02 13:14:59,1201.85,1201.21,1202.29,1201.1,1189.6371,1194.3163671584514,Buy,1201.85,1200.5283411560413,1206.6573999999998,1.0,,1201.85
3,2023-01-02 13:44:59,1201.91,1202.55,1202.55,1201.14,1139.6957,1194.3623580311742,Buy,1201.9,1200.1089638029134,1206.7076000000002,1.0,,1201.9
4,2023-01-02 14:29:59,1202.75,1202.58,1203.72,1202.58,845.2657,1194.26416472907,Buy,1202.75,1202.310609593659,1207.561,1.0,,1202.75
5,2023-01-02 14:44:59,1202.58,1200.95,1202.59,1200.55,2176.3035,1194.2993715581185,Stop,,,,-3.0,1202.310609593659,-3606.9318
6,2023-01-04 02:14:59,1208.74,1207.52,1208.75,1206.92,1790.2865,1205.660713752976,Buy,1208.75,1206.819911290977,1213.585,1.0,,1208.75
7,2023-01-04 02:44:59,1209.18,1207.99,1209.18,1207.9,1103.4248,1205.0376664344212,Buy,1209.17,1207.04144009273,1214.0066800000002,1.0,,1209.17
8,2023-01-04 03:44:59,1208.05,1208.79,1209.01,1207.11,1751.4547,1203.9057563758727,Buy,1208.05,1207.3650681093416,1212.8822,1.0,,1208.05
9,2023-01-04 04:29:59,1211.08,1211.25,1212.92,1210.54,3787.9188,1203.9480140939897,Sell,,,,-3.0,1212.8822,-3638.6466
10,2023-01-04 05:29:59,1211.92,1211.68,1212.3,1211.09,5991.1735,1204.5797911642542,Buy,1211.91,1210.2892982635808,1216.75764,1.0,,1211.91
11,2023-01-04 05:59:59,1212.18,1211.48,1212.2,1210.77,1159.6984,1205.8231234626583,Buy,1212.18,1211.0816691660468,1217.02872,1.0,,1212.18
12,2023-01-04 06:14:59,1211.49,1210.58,1211.9,1210.57,1074.736,1206.7728030786382,Stop,,,,-2.0,1211.0816691660468,-2422.1633
13,2023-01-05 17:14:59,1250.73,1248.93,1250.74,1247.61,2563.8072,1248.8504905363657,Buy,1250.74,1249.7162434925829,1255.74296,1.0,,1250.74
14,2023-01-05 17:29:59,1248.92,1249.12,1249.99,1248.35,1296.0493,1248.5817183858073,Stop,,,,-1.0,1249.7162434925829,-1249.7162
15,2023-01-05 19:29:59,1252.06,1251.21,1252.22,1251.0,1290.0662,1247.7920682955753,Buy,1252.06,1251.4165602772982,1257.06824,1.0,,1252.06
16,2023-01-05 19:59:59,1252.88,1255.91,1256.14,1252.39,18041.5459,1247.6335936034525,Buy,1252.88,1251.1573070758336,1257.8915200000001,1.0,,1252.88
17,2023-01-05 20:59:59,1253.18,1252.92,1253.47,1252.84,1332.9952,1247.8016281220878,Buy,1253.17,1252.0328781274177,1258.1826800000001,1.0,,1253.17
18,2023-01-05 21:29:59,1253.1,1251.9,1254.0,1250.5,6594.4133,1247.8574566848376,Stop,,,,-3.0,1252.0328781274177,-3756.0986
19,2023-01-06 22:44:59,1250.53,1247.09,1252.88,1246.76,6535.4353,1240.6524837376116,Buy,1250.54,1247.939057881099,1255.54216,1.0,,1250.54
20,2023-01-06 23:44:59,1250.48,1258.55,1264.22,1250.47,18219.3808,1239.5210696843867,Sell,,,,-1.0,1255.54216,-1255.5422
21,2023-01-06 23:59:59,1258.55,1263.01,1265.0,1258.54,9235.7381,1238.0553928253635,Buy,1258.55,1250.3663438259484,1263.5842,1.0,,1258.55
22,2023-01-07 00:14:59,1263.01,1260.45,1268.51,1260.45,12448.275,1237.3473304801428,Sell,,,,-1.0,1263.5842,-1263.5842
23,2023-01-07 00:59:59,1261.71,1264.19,1265.77,1261.04,6264.9042,1235.6399080711215,Buy,1261.71,1260.1134724987742,1266.75684,1.0,,1261.71
24,2023-01-07 01:14:59,1264.19,1264.01,1269.59,1263.94,7091.1148,1235.200838429241,Sell,,,,-1.0,1266.75684,-1266.7568
25,2023-01-07 03:44:59,1267.24,1272.67,1276.7,1267.18,15426.8925,1237.6046994074418,Buy,1267.24,1265.0711151321966,1272.30896,1.0,,1267.24
26,2023-01-07 03:59:59,1272.67,1273.13,1274.74,1271.88,5066.4765,1238.5563856284134,Sell,,,,-1.0,1272.30896,-1272.309
27,2023-01-12 02:29:59,1342.68,1340.17,1343.97,1337.64,6487.624,1322.5975858261604,Buy,1342.69,1327.4203897627124,1348.06076,1.0,,1342.69
28,2023-01-12 05:29:59,1342.06,1341.63,1342.41,1339.43,3419.7596,1320.7862807107017,Buy,1342.06,1341.467936176976,1347.42824,1.0,,1342.06
29,2023-01-12 05:44:59,1341.64,1340.72,1341.88,1340.43,5008.5566,1321.0503450959645,Stop,,,,-2.0,1341.467936176976,-2682.9359
30,2023-01-12 06:14:59,1342.63,1342.64,1360.0,1340.39,31665.9382,1321.2150854135646,Buy,1342.63,1340.6254922670614,1348.00052,1.0,,1342.63
31,2023-01-12 06:29:59,1342.65,1347.84,1349.46,1342.64,7282.2556,1321.086364469908,Sell,,,,-1.0,1348.00052,-1348.0005
32,2023-01-13 01:44:59,1399.91,1419.3,1432.79,1397.01,46139.2143,1375.4350681072406,Buy,1399.91,1384.98299807909,1405.50964,1.0,,1399.91
33,2023-01-13 01:59:59,1419.31,1428.72,1430.91,1419.3,17648.443,1372.3578250254568,Sell,,,,-1.0,1405.50964,-1405.5096
34,2023-01-13 03:44:59,1423.24,1427.57,1430.45,1421.59,7214.954,1366.8687540262279,Buy,1423.23,1418.7478888745193,1428.92292,1.0,,1423.23
35,2023-01-13 03:59:59,1427.58,1425.86,1437.6,1421.74,13435.8765,1366.6159951087407,Sell,,,,-1.0,1428.92292,-1428.9229
36,2023-01-16 17:29:59,1542.77,1542.56,1543.52,1541.47,2526.4906,1539.0508133855224,Buy,1542.77,1535.8037639728686,1548.94108,1.0,,1542.77
37,2023-01-16 18:14:59,1544.4,1550.47,1550.91,1544.03,3508.2384,1535.0616440035153,Buy,1544.4,1540.8247540810466,1550.5776,1.0,,1544.4
38,2023-01-16 18:29:59,1550.47,1548.11,1552.97,1547.15,4713.4191,1534.0975106291396,Sell,,,,-2.0,1550.5776,-3101.1552
