,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
338,1609463048000,15m,Down,1,5,Close,23610.05,10631.19,3166.32,-331.66,16,35800.15,659.50%
170,1640999048000,15m,Any,1,5,Close,23602.18,9701.1,3223.66,-250.34,34,52095.66,453.05%
236,1640999048000,1h,Up,5,5,Close,23498.27,1169.12,12001.97,-1317.93,25,49422.04,475.46%
380,1609463048000,1h,Up,5,5,Close,22836.19,2315.93,21643.52,-2771.31,31,61830.53,369.34%
348,1609463048000,15m,Down,3,3,Close,22772.66,10636.97,3258.87,-1482.12,19,25211.86,903.25%
344,1609463048000,15m,Down,2,5,Close,22380.47,10630.02,6154.95,-702.07,25,96693.99,231.46%
238,1640999048000,1h,Up,5,7,Close,22100.45,1169.82,23221.87,-1317.93,49,110468.51,200.06%
426,1609463048000,1h,Down,5,3,Close,21991.41,2629.91,6394.94,-1930.28,18,38462.93,571.76%
296,1609463048000,15m,Up,2,5,Close,21922.51,9270.57,4884.83,-345.77,22,33492.95,654.54%
292,1609463048000,15m,Up,1,7,Close,21903.31,9272.36,2288.27,-135.25,17,26114.05,838.76%
178,1640999048000,15m,Any,2,7,Close,21563.76,9698.54,4470.04,-476.55,44,66877.97,322.43%
302,1609463048000,15m,Up,3,5,Close,21235.93,9270.91,4884.83,-889.35,35,39988.54,531.05%
374,1609463048000,1h,Up,3,5,Close,21227.44,2316.73,14799.61,-1384.77,24,61046.47,347.73%
186,1640999048000,15m,Any,5,3,Close,21122.21,9698.76,3909.13,-2095.49,61,72832.56,290.01%
282,1640999048000,1h,Down,5,3,Close,21075.34,1350.89,6394.94,-1536.3,18,20048.24,1051.23%
405,1609463048000,1h,Any,5,5,High,21023.92,4957.73,53035.39,-4002.2,69,151124.34,139.12%
390,1609463048000,1h,Any,2,3,Close,20717.16,4957.89,7004.15,-1585.63,23,67961.65,304.84%
280,1640999048000,1h,Down,3,7,Close,20607.51,1351.12,11057.18,-706.07,40,95182.83,216.50%
261,1640999048000,1h,Any,5,5,High,20586.89,2532.0,14340.46,-2924.17,69,151124.34,136.22%
422,1609463048000,1h,Down,3,5,Close,20499.53,2630.65,7303.56,-1510.81,29,65456.12,313.18%
290,1609463048000,15m,Up,1,5,Close,20482.78,9273.07,2201.23,-135.25,17,26114.05,784.36%
180,1640999048000,15m,Any,3,3,Close,20388.5,9699.13,3383.7,-1062.53,50,59679.21,341.63%
412,1609463048000,1h,Down,1,7,Close,20249.32,2630.78,3874.96,-552.47,18,29250.68,692.27%
401,1609463048000,1h,Any,3,7,High,20111.26,4958.19,32841.8,-2849.98,71,170207.2,118.16%
167,1640999048000,15m,Up,5,7,High,19777.4,4511.96,9134.02,-1176.52,56,144619.92,136.75%
420,1609463048000,1h,Down,3,3,Close,19713.64,2631.04,6394.94,-1510.81,15,34741.26,567.44%
392,1609463048000,1h,Any,2,5,Close,19577.9,4958.45,8479.96,-1585.63,31,98040.45,199.69%
342,1609463048000,15m,Down,2,3,Close,19441.27,10638.64,2282.61,-702.07,18,39557.94,491.46%
288,1609463048000,15m,Up,1,3,Close,19258.56,9279.06,1461.84,-135.25,10,29358.98,655.97%
176,1640999048000,15m,Any,2,5,Close,18971.45,9699.83,3761.27,-476.55,44,66877.97,283.67%
410,1609463048000,1h,Down,1,5,Close,18900.64,2631.45,2402.94,-552.47,14,45454.17,415.82%
208,1640999048000,15m,Down,3,7,Close,18817.03,5178.07,5665.92,-606.83,37,91351.61,205.98%
248,1640999048000,1h,Any,2,5,Close,18583.34,2533.0,6420.51,-875.36,29,81285.54,228.62%
240,1640999048000,1h,Any,1,3,Close,18569.32,2533.01,2506.01,-343.19,21,56854.34,326.61%
283,1640999048000,1h,Down,5,3,High,18424.02,1352.21,6394.94,-1292.13,18,20048.24,918.98%
232,1640999048000,1h,Up,3,7,Close,18341.26,1171.7,10481.56,-606.28,31,75024.37,244.47%
396,1609463048000,1h,Any,3,3,Close,18224.08,4959.13,7004.15,-2849.98,40,87748.44,207.69%
336,1609463048000,15m,Down,1,3,Close,18221.3,10639.25,1393.83,-331.66,13,28806.09,632.55%
