,Close_Time,Open,Close,High,Low,Volume,ema_8,ema_18,ema_38,atr,rsi,slow_k,slow_d,kd_cross,c1,c2,c3,c4,c5,signal,open_entry,entry_p,stop_loss,take_profit,position
0,2023-01-01 17:44:59,1194.76,1195.98,1195.99,1194.76,450.9908,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
1,2023-01-01 17:59:59,1195.98,1196.48,1196.55,1195.6,738.0895,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
2,2023-01-01 18:14:59,1196.47,1196.29,1196.48,1195.7,489.0501,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
3,2023-01-01 18:29:59,1196.29,1196.21,1196.34,1195.98,380.1043,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
4,2023-01-01 18:44:59,1196.22,1195.66,1196.22,1195.59,556.5141,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
5,2023-01-01 18:59:59,1195.66,1197.14,1197.19,1195.66,580.9124,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
6,2023-01-01 19:14:59,1197.14,1196.92,1197.41,1196.59,1058.8885,,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
7,2023-01-01 19:29:59,1196.93,1196.16,1196.93,1196.08,618.4101,1196.367859783327,,,0.0,,,,False,False,True,False,False,False,False,False,,,,
8,2023-01-01 19:44:59,1196.16,1196.05,1196.44,1195.81,773.119,1196.297224275921,,,0.0,,,,False,False,True,False,False,False,False,False,,,,
9,2023-01-01 19:59:59,1196.04,1196.34,1196.35,1195.72,403.6366,1196.306729992383,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
10,2023-01-01 20:14:59,1196.35,1197.21,1197.55,1195.83,1232.322,1196.5074566607423,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
11,2023-01-01 20:29:59,1197.21,1197.88,1198.5,1196.73,1598.1078,1196.8124662916885,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
12,2023-01-01 20:44:59,1197.88,1197.02,1198.36,1196.95,908.7877,1196.8585848935354,,,0.0,,,,False,False,False,False,False,False,False,False,,,,
13,2023-01-01 20:59:59,1197.03,1197.17,1197.58,1197.02,679.519,1196.9277882505276,,,0.9907142857142942,58.40064942893838,64.43850267379882,,False,False,False,False,False,True,False,False,,,,
14,2023-01-01 21:14:59,1197.16,1196.37,1197.29,1196.21,939.55,1196.8038353059658,,,0.9970918367346966,49.12118303731719,26.804123711338516,,False,False,True,False,False,True,False,False,,,,
15,2023-01-01 21:29:59,1196.38,1196.06,1196.38,1195.67,836.4038,1196.6385385713068,,,0.9765852769679351,46.066626773961595,16.151202749141376,35.79794304475957,False,False,True,False,False,True,False,False,,,,
16,2023-01-01 21:44:59,1196.06,1194.56,1196.12,1193.54,2497.7123,1196.1766411110164,,,1.091114900041649,34.79257290270833,20.56451612903174,21.173280863170543,False,False,True,False,False,True,False,False,,,,
17,2023-01-01 21:59:59,1194.56,1195.26,1195.26,1194.17,530.7829,1195.972943086346,1196.2096773080148,,1.0910352643243824,41.934323034497154,34.677419354839,23.797712744337375,True,True,True,True,False,True,False,False,,,,
18,2023-01-01 22:14:59,1195.26,1195.49,1195.5,1194.69,934.0585,1195.8656224004915,1196.133921801908,,1.0709613168726368,44.100673139347705,39.31451612903289,31.51881720430121,False,False,True,True,False,True,False,False,,,,
19,2023-01-01 22:29:59,1195.49,1195.59,1195.86,1195.43,712.3706,1195.80437297816,1196.0766668753913,,1.0251783656674367,45.060408343141816,41.330645161289105,38.44086021505367,False,False,True,True,False,True,False,False,,,,
