,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
203,ftmusdt,1.003,0.999,High,738.74,51.01,134.6,-32.6,15,3000.0,246.25%,63.78%,14.48,-13.5
194,ftmusdt,0.999,0.999,Close,737.89,51.01,134.6,-34.87,15,3000.0,245.96%,69.47%,14.47,-24.53
53,crvusdt,1.007,0.995,High,737.49,88.39,74.9,-46.12,15,3000.0,245.83%,61.31%,8.34,-0.76
109,imxusdt,1.003,0.995,High,735.36,80.99,88.76,-60.44,18,3600.0,204.27%,58.02%,9.08,6.36
165,linausdt,0.999,0.995,High,724.78,68.2,237.79,-21.27,14,2800.0,258.85%,53.62%,10.63,4.57
277,avaxusdt,1.007,0.995,High,723.56,90.79,71.95,-72.56,17,3400.0,212.81%,65.29%,7.97,-0.77
125,imxusdt,1.011,0.995,High,722.09,81.0,117.64,-78.47,18,3600.0,200.58%,62.82%,8.91,-10.66
188,linausdt,1.011,0.995,Close,721.93,68.2,237.79,-45.69,14,2800.0,257.83%,62.20%,10.58,2.43
183,linausdt,1.007,0.99,High,720.72,114.38,274.4,-78.08,26,5200.0,138.60%,55.68%,6.3,-13.34
202,ftmusdt,1.003,0.999,Close,716.11,51.02,134.6,-34.87,15,3000.0,238.70%,67.72%,14.04,-24.53
276,avaxusdt,1.007,0.995,Close,709.78,90.8,71.95,-69.39,17,3400.0,208.76%,65.29%,7.82,-0.77
38,crvusdt,0.999,0.99,Close,708.32,161.37,97.83,-97.7,22,4400.0,160.98%,56.11%,4.39,-14.4
5,ethusdt,0.999,0.995,High,706.73,133.78,58.71,-22.06,15,3000.0,235.58%,52.63%,5.28,-12.3
61,crvusdt,1.011,0.995,High,699.15,88.41,74.9,-53.45,15,3000.0,233.05%,62.87%,7.91,-3.17
182,linausdt,1.007,0.99,Close,696.33,114.39,274.4,-67.35,26,5200.0,133.91%,56.76%,6.09,-15.53
52,crvusdt,1.007,0.995,Close,692.27,88.41,74.9,-58.53,15,3000.0,230.76%,61.90%,7.83,-4.37
174,linausdt,1.003,0.99,Close,689.36,114.4,274.4,-67.35,26,5200.0,132.57%,56.45%,6.03,-11.94
211,ftmusdt,1.007,0.999,High,688.58,51.03,134.6,-39.11,15,3000.0,229.53%,65.60%,13.49,-22.34
218,ftmusdt,1.011,0.999,Close,687.81,51.03,134.6,-34.87,15,3000.0,229.27%,67.48%,13.48,-28.26
131,roseusdt,0.999,0.999,High,682.27,52.03,38.02,-30.38,10,2000.0,341.13%,58.52%,13.11,0.59
210,ftmusdt,1.007,0.999,Close,680.58,51.03,134.6,-34.87,15,3000.0,226.86%,66.40%,13.34,-24.53
45,crvusdt,1.003,0.995,High,679.3,88.42,74.9,-49.46,15,3000.0,226.43%,58.58%,7.68,1.65
60,crvusdt,1.011,0.995,Close,677.63,88.42,74.9,-58.53,15,3000.0,225.88%,63.47%,7.66,-4.66
260,avaxusdt,0.999,0.995,Close,673.86,90.82,71.95,-69.39,17,3400.0,198.19%,62.84%,7.42,-0.77
146,roseusdt,1.007,0.999,Close,673.18,52.04,43.15,-48.57,12,2400.0,280.49%,64.84%,12.94,0.59
154,roseusdt,1.011,0.999,Close,672.42,52.04,43.15,-48.57,12,2400.0,280.18%,67.19%,12.92,0.59
166,linausdt,0.999,0.99,Close,671.69,114.41,274.4,-67.35,18,3600.0,186.58%,55.73%,5.87,-11.94
189,linausdt,1.011,0.995,High,670.44,68.23,237.79,-34.65,14,2800.0,239.44%,61.42%,9.83,2.16
138,roseusdt,1.003,0.999,Close,662.35,52.04,38.02,-38.88,10,2000.0,331.18%,65.15%,12.73,0.59
173,linausdt,1.003,0.995,High,660.05,68.24,237.79,-26.16,14,2800.0,235.73%,56.82%,9.67,3.77
130,roseusdt,0.999,0.999,Close,659.41,52.04,38.02,-38.88,10,2000.0,329.70%,65.19%,12.67,0.59
88,injusdt,1.011,1.005,Close,653.63,28.06,39.67,-11.78,6,1200.0,544.69%,79.78%,23.29,16.88
147,roseusdt,1.007,0.999,High,648.55,52.05,43.15,-46.64,12,2400.0,270.23%,64.84%,12.46,0.59
70,injusdt,0.999,0.99,Close,646.98,180.19,87.92,-247.11,22,4400.0,147.04%,63.38%,3.59,1.0
219,ftmusdt,1.011,0.999,High,644.04,51.05,134.6,-45.62,15,3000.0,214.68%,66.67%,12.62,-31.18
80,injusdt,1.007,1.005,Close,639.23,28.07,38.45,-11.82,6,1200.0,532.70%,80.00%,22.78,16.88
243,adausdt,1.007,0.999,High,631.19,55.66,220.4,-18.69,17,3400.0,185.64%,63.93%,11.34,-6.77
164,linausdt,0.999,0.995,Close,630.31,68.25,237.79,-45.69,14,2800.0,225.11%,58.70%,9.24,3.72
251,adausdt,1.011,0.999,High,623.93,55.66,220.4,-24.33,17,3400.0,183.51%,66.12%,11.21,-9.97
36,crvusdt,0.999,0.995,Close,622.74,88.44,74.9,-36.64,15,3000.0,207.58%,58.14%,7.04,-9.82
44,crvusdt,1.003,0.995,Close,622.57,88.44,74.9,-36.64,15,3000.0,207.52%,59.76%,7.04,-2.72
139,roseusdt,1.003,0.999,High,621.95,52.06,38.02,-38.51,10,2000.0,310.97%,60.61%,11.95,0.59
