,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
240,adausdt,1.007,1.005,Close,213.93,14.09,36.85,-9.12,6,1200.0,178.28%,67.44%,15.19,-1.64
8,ethusdt,1.003,1.005,Close,213.08,10.29,49.1,-8.65,4,800.0,266.35%,71.43%,20.71,2.17
16,ethusdt,1.007,1.005,Close,212.57,10.29,49.1,-8.65,4,800.0,265.72%,74.29%,20.66,2.17
24,ethusdt,1.011,1.005,Close,209.37,10.29,49.1,-8.65,4,800.0,261.71%,74.29%,20.35,2.17
241,adausdt,1.007,1.005,High,208.96,14.09,36.85,-6.32,6,1200.0,174.13%,62.79%,14.83,-1.65
17,ethusdt,1.007,1.005,High,208.54,10.29,49.1,-6.36,4,800.0,260.67%,74.29%,20.26,2.17
280,avaxusdt,1.011,1.005,Close,204.08,10.89,33.76,-27.53,5,1000.0,204.08%,80.56%,18.74,3.21
25,ethusdt,1.011,1.005,High,202.68,10.29,49.1,-9.56,4,800.0,253.35%,74.29%,19.69,2.17
281,avaxusdt,1.011,1.005,High,201.51,10.89,33.76,-27.53,5,1000.0,201.51%,80.56%,18.5,3.21
272,avaxusdt,1.007,1.005,Close,197.26,10.9,33.76,-27.53,5,1000.0,197.26%,77.78%,18.1,2.26
273,avaxusdt,1.007,1.005,High,197.11,10.9,33.76,-29.27,5,1000.0,197.11%,77.78%,18.09,1.6
224,adausdt,0.999,1.005,Close,196.8,14.09,36.85,-9.12,6,1200.0,164.00%,67.39%,13.96,-1.64
265,avaxusdt,1.003,1.005,High,196.35,10.9,33.76,-25.18,5,1000.0,196.35%,69.44%,18.02,-2.18
232,adausdt,1.003,1.005,Close,196.12,14.09,36.85,-9.12,6,1200.0,163.43%,63.64%,13.91,-1.64
264,avaxusdt,1.003,1.005,Close,193.21,10.9,33.76,-27.53,5,1000.0,193.21%,75.00%,17.73,1.1
225,adausdt,0.999,1.005,High,192.44,14.1,36.85,-7.93,6,1200.0,160.37%,50.00%,13.65,-0.05
256,avaxusdt,0.999,1.005,Close,190.01,10.9,33.76,-27.53,5,1000.0,190.01%,80.56%,17.43,1.1
233,adausdt,1.003,1.005,High,189.82,14.1,36.85,-11.17,6,1200.0,158.18%,56.82%,13.46,-0.85
257,avaxusdt,0.999,1.005,High,184.05,10.9,33.76,-21.09,5,1000.0,184.05%,55.56%,16.88,-0.56
22,ethusdt,1.007,0.99,Close,64.99,261.84,123.7,-102.11,36,7200.0,9.03%,52.00%,0.25,-110.5
31,ethusdt,1.011,0.99,High,37.76,261.85,123.7,-105.08,36,7200.0,5.24%,52.82%,0.14,-124.6
30,ethusdt,1.011,0.99,Close,-58.85,261.9,123.7,-121.64,36,7200.0,-8.17%,52.82%,-0.22,-217.36
