Open_Time,Open,Close,High,Low,Volume,ema_8_15m,ema_18_15m,ema_38_15m,rsi_15m,atr,ema_8_1h
2023-05-11 17:45:00,1822.56,1820.36,1823.48,1820.35,1653.76,1820.36,1820.36,1820.36,,0.0,
2023-05-11 18:00:00,1820.36,1820.33,1820.6,1819.21,2332.81,1820.353333333333,1820.356842105263,1820.3584615384614,,0.0,1822.71
2023-05-11 18:15:00,1820.33,1821.53,1821.87,1819.8,2051.91,1820.6148148148147,1820.480332409972,1820.4185404339248,,0.0,
2023-05-11 18:30:00,1821.54,1823.91,1824.36,1819.88,1897.8,1821.3470781893004,1820.8413500510278,1820.5975896424413,,0.0,
2023-05-11 18:45:00,1823.92,1822.71,1825.81,1822.71,1912.71,1821.6499497027892,1821.0380500456563,1820.7059183787262,,0.0,
2023-05-11 19:00:00,1822.71,1822.8,1824.5,1821.5,1844.57,1821.9055164355027,1821.223518461903,1820.813307179817,,0.0,1822.2944444444445
2023-05-11 19:15:00,1822.79,1822.57,1824.5,1821.2,1844.58,1822.0531794498354,1821.36525336065,1820.9033939911083,,0.0,
2023-05-11 19:30:00,1822.58,1821.91,1824.08,1821.46,3160.69,1822.0213617943166,1821.4225951121605,1820.955014812077,,0.0,
2023-05-11 19:45:00,1821.91,1820.84,1821.91,1818.87,2556.9,1821.7588369511352,1821.3612693108803,1820.9491166165858,,0.0,
2023-05-11 20:00:00,1820.83,1828.17,1832.65,1820.2,7745.19,1823.1835398508829,1822.0779778044716,1821.3194183285557,,0.0,1821.6201234567902
2023-05-11 20:15:00,1828.17,1831.6,1832.96,1826.8,4339.79,1825.0538643284644,1823.0802959303167,1821.84662764504,,0.0,
2023-05-11 20:30:00,1831.6,1819.83,1839.0,1815.52,18170.92,1823.8930055888059,1822.738159516599,1821.74321084273,,0.0,
2023-05-11 20:45:00,1819.83,1819.26,1824.46,1816.68,6663.43,1822.8634487912934,1822.37203746222,1821.6158666969488,,0.0,
2023-05-11 21:00:00,1819.26,1814.16,1822.56,1810.0,8695.1,1820.9293490598948,1821.5076124661969,1821.2335145586437,,6.325714285714265,1818.4712071330591
