,Open_Time,Open,Close,High,Low,Volume,ema_8_1h,ema_18_1h,ema_38_1h,ema_8_4h,ema_18_4h,ema_38_4h,bb_u,bb_m,bb_l,c1,c2,c3,c4,signal,entry
0,2023-06-29 09:00:00,62.78,61.97,62.84,61.91,12133.238,61.97,61.97,61.97,62.6,62.6,62.6,,,,True,True,True,True,True,False
1,2023-06-29 10:00:00,61.97,64.72,67.23,61.91,119033.639,62.58111111111111,62.259473684210526,62.111025641025634,62.63777777777778,62.6178947368421,62.60871794871795,,,,True,True,True,False,False,False
2,2023-06-29 11:00:00,64.72,62.71,64.72,62.45,53064.168,62.60975308641975,62.3068975069252,62.141742274819194,62.67555555555556,62.63578947368421,62.6174358974359,,,,True,True,True,True,True,False
3,2023-06-29 12:00:00,62.69,62.6,63.29,62.35,13821.942,62.60758573388203,62.337750400933075,62.16524267098231,62.71333333333334,62.65368421052632,62.62615384615384,,,,True,True,True,True,True,False
4,2023-06-29 13:00:00,62.61,62.2,63.18,61.98,15178.086,62.51701112635269,62.323250358729595,62.167025098111424,62.751111111111115,62.671578947368424,62.63487179487179,,,,True,True,True,True,True,False
5,2023-06-29 14:00:00,62.2,62.39,62.73,61.71,6522.937,62.48878643160765,62.33027663675806,62.17845970846468,62.76438271604938,62.67995844875347,62.63942472057856,,,,True,True,True,True,True,False
6,2023-06-29 15:00:00,62.39,62.69,62.98,62.13,3426.627,62.53350055791706,62.36814225394142,62.204692543928026,62.77765432098766,62.688337950138504,62.643977646285336,,,,True,True,True,True,True,False
7,2023-06-29 16:00:00,62.72,63.28,63.32,62.67,8509.719,62.69938932282437,62.46412727984232,62.25983651603428,62.79092592592593,62.69671745152355,62.648530571992104,,,,True,True,True,False,False,False
8,2023-06-29 17:00:00,63.3,62.91,63.42,62.48,5582.655,62.746191695530065,62.51106125038523,62.29317823316072,62.8041975308642,62.70509695290859,62.65308349769887,,,,True,True,True,False,False,False
9,2023-06-29 18:00:00,62.9,63.09,63.46,62.69,5850.447,62.82259354096783,62.572002171397315,62.33404088787042,62.917297668038415,62.761278612042574,62.681120888754016,,,,True,True,True,False,False,False
10,2023-06-29 19:00:00,63.09,63.19,63.69,63.02,3844.328,62.90423942075276,62.637054574408126,62.377936226953985,63.03039780521262,62.81746027117656,62.70915827980916,,,,True,True,True,False,False,False
11,2023-06-29 20:00:00,63.23,62.99,63.45,62.95,5493.489,62.92329732725214,62.67420672447043,62.409324112751214,63.14349794238683,62.87364193031055,62.7371956708643,,,,True,True,True,True,True,False
12,2023-06-29 21:00:00,63.02,62.2,63.38,62.0,12137.756,62.76256458786278,62.62429022715775,62.39858954286654,63.256598079561044,62.92982358944453,62.765233061919446,,,,True,True,True,True,True,False
13,2023-06-29 22:00:00,62.21,61.71,62.33,61.43,16815.509,62.52866134611549,62.528049150614834,62.363277258616975,63.375675964029874,62.99482823182757,62.799012125228174,,,,True,True,True,True,True,False
14,2023-06-29 23:00:00,61.77,63.28,63.49,61.72,17626.256,62.69562549142316,62.60720187160275,62.410288681252,63.4947538484987,63.05983287421061,62.832791188536895,,,,True,True,True,False,False,False
15,2023-06-30 00:00:00,63.28,64.84,65.19,63.16,25875.171,63.17215315999579,62.842233253539305,62.53488926170061,63.61383173296754,63.12483751659365,62.866570251845616,,,,True,True,True,False,False,False
16,2023-06-30 01:00:00,64.85,65.22,66.77,64.85,38767.972,63.627230235552275,63.092524490008856,62.67258724828007,63.73290961743637,63.18984215897669,62.900349315154344,,,,True,True,True,False,False,False
