,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
151,linausdt,0.998,1.01,Low,2373.56,126.65,249.9,-44.42,31,6200.0,382.83%,66.67%,18.74,162.41
159,linausdt,0.995,1.01,Low,2292.51,126.61,249.9,-62.93,31,6200.0,369.76%,66.50%,18.11,162.44
166,linausdt,0.99,1.01,Close,2245.49,126.59,249.9,-70.1,31,6200.0,362.18%,68.04%,17.74,162.44
158,linausdt,0.995,1.01,Close,2218.56,126.57,249.9,-70.1,31,6200.0,357.83%,68.02%,17.53,162.44
150,linausdt,0.998,1.01,Close,2185.64,126.56,249.9,-70.1,31,6200.0,352.52%,67.68%,17.27,162.44
167,linausdt,0.99,1.01,Low,2178.05,126.55,249.9,-93.77,31,6200.0,351.30%,67.53%,17.21,162.44
95,injusdt,0.99,1.01,Low,2012.39,141.48,162.69,-43.68,29,5800.0,346.96%,67.40%,14.22,-2.18
94,injusdt,0.99,1.01,Close,1950.14,141.45,162.69,-41.46,29,5800.0,336.23%,67.84%,13.79,-2.18
79,injusdt,0.998,1.01,Low,1923.41,141.43,162.69,-39.32,23,4600.0,418.13%,63.36%,13.6,-2.18
87,injusdt,0.995,1.01,Low,1898.8,141.42,162.69,-45.21,23,4600.0,412.78%,65.37%,13.43,-2.18
86,injusdt,0.995,1.01,Close,1814.9,141.38,162.69,-37.95,23,4600.0,394.54%,65.37%,12.84,-2.18
78,injusdt,0.998,1.01,Close,1792.6,141.37,162.69,-37.95,23,4600.0,389.69%,64.22%,12.68,-2.18
149,linausdt,0.998,1.003,Low,1523.06,60.19,136.96,-20.4,9,1800.0,846.15%,65.91%,25.3,135.09
103,imxusdt,0.998,1.01,Low,1519.23,107.61,154.01,-57.84,19,3800.0,399.80%,62.43%,14.12,150.36
157,linausdt,0.995,1.003,Low,1511.1,60.19,136.96,-23.35,9,1800.0,839.50%,66.41%,25.11,135.09
165,linausdt,0.99,1.003,Low,1464.47,60.16,136.96,-28.25,9,1800.0,813.59%,67.44%,24.34,135.09
111,imxusdt,0.995,1.01,Low,1441.77,107.57,154.01,-64.88,19,3800.0,379.41%,64.25%,13.4,147.38
164,linausdt,0.99,1.003,Close,1440.11,60.15,136.96,-51.47,9,1800.0,800.06%,69.77%,23.94,135.09
156,linausdt,0.995,1.003,Close,1439.86,60.15,136.96,-51.47,9,1800.0,799.92%,69.47%,23.94,135.09
148,linausdt,0.998,1.003,Close,1404.5,60.13,136.96,-51.47,9,1800.0,780.28%,68.94%,23.36,135.09
119,imxusdt,0.99,1.01,Low,1362.58,107.54,154.01,-69.79,19,3800.0,358.57%,66.29%,12.67,142.42
