,Close_Time,Open,Close,High,Low,sma,bb_u,bb_l,rsi,position,entry_p,stop_loss,size,exit_p,amt
0,2022-09-05 13:59:59.999000064,1559.72,1562.29,1564.12,1558.08,1573.8063333333334,1584.8994633194404,1562.7132033472265,39.699044682603756,Buy,1559.71,1557.56,1.0,,1559.71
1,2022-09-05 20:29:59.999000064,1563.78,1573.02,1574.09,1562.41,1564.4133333333334,1570.432853432311,1558.3938132343558,59.77088948941784,Sell,,,-1.0,1570.432853432311,-1570.4329
2,2022-09-06 22:14:59.999000064,1649.24,1646.42,1650.91,1633.31,1663.2206666666666,1677.8406045902618,1648.6007287430714,37.976730572778905,Buy,1649.23,1638.8,1.0,,1649.23
3,2022-09-06 22:29:59.999000064,1646.41,1654.55,1657.85,1640.97,1662.8166666666666,1677.7004630760657,1647.9328702572675,45.405892334801756,Buy,1646.42,1633.31,1.0,,1646.42
4,2022-09-07 01:14:59.999000064,1662.15,1610.98,1663.24,1601.0,1662.4496666666666,1686.0181792676583,1638.881154065675,27.33032855006317,Stop,,,-2.0,1633.31,-3266.62
5,2022-09-07 02:14:59.999000064,1587.8,1589.57,1591.5,1579.07,1653.054,1706.288766484577,1599.819233515423,23.47312849195265,Buy,1587.8,1569.07,1.0,,1587.8
6,2022-09-07 02:29:59.999000064,1589.58,1577.25,1592.69,1576.01,1650.1680000000001,1709.760848653739,1590.5751513462612,20.84827143518139,Buy,1589.57,1579.07,1.0,,1589.57
7,2022-09-07 02:44:59.999000064,1577.24,1570.58,1582.25,1565.0,1646.8233333333333,1712.3497223855536,1581.296944281113,19.572202347384007,Stop,,,-2.0,1579.07,-3158.14
8,2022-09-07 03:14:59.999000064,1573.0,1575.59,1581.03,1569.33,1640.7049999999997,1714.5155592716965,1566.894440728303,23.50934220332472,Buy,1573.01,1565.01,1.0,,1573.01
9,2022-09-07 04:14:59.999000064,1576.67,1564.0,1579.77,1555.0,1627.1923333333332,1707.698801261213,1546.6858654054533,24.300163714981664,Stop,,,-1.0,1565.01,-1565.01
10,2022-09-07 09:29:59.999000064,1535.5,1531.39,1538.21,1530.19,1568.4483333333333,1603.6741295943405,1533.222537072326,27.332357513062902,Buy,1535.49,1531.11,1.0,,1535.49
11,2022-09-07 09:44:59.999000064,1531.38,1524.77,1534.43,1521.32,1566.2883333333332,1603.9325084766665,1528.6441581899999,25.307375404630065,Stop,,,-1.0,1531.11,-1531.11
12,2022-09-12 11:59:59.999000064,1723.45,1726.8,1728.5,1722.2,1748.367,1772.626194902845,1724.1078050971548,38.48126291555767,Buy,1723.44,1711.75,1.0,,1723.44
13,2022-09-12 16:59:59.999000064,1758.42,1754.04,1765.97,1753.38,1738.9836666666665,1764.8172270011696,1713.1501063321634,58.59213988125842,Sell,,,-1.0,1764.8172270011696,-1764.8172
14,2022-09-12 23:29:59.999000064,1729.7,1729.56,1733.72,1726.51,1746.6953333333333,1761.645836320072,1731.7448303465947,36.91714383896032,Buy,1729.69,1723.01,1.0,,1729.69
15,2022-09-12 23:44:59.999000064,1729.57,1720.02,1732.27,1718.59,1745.507,1762.8853245452751,1728.128675454725,31.24938199024095,Stop,,,-1.0,1723.01,-1723.01
16,2022-09-15 23:44:59.999000064,1488.72,1491.38,1502.18,1487.21,1573.6216666666664,1647.6918985790537,1499.5514347542792,22.898102901935346,Buy,1488.73,1458.0,1.0,,1488.73
17,2022-09-16 07:14:59.999000064,1475.04,1468.48,1479.19,1461.99,1497.1276666666668,1521.409825649904,1472.8455076834296,30.11606522545759,Buy,1475.04,1459.14,1.0,,1475.04
18,2022-09-16 10:44:59.999000064,1466.59,1456.1,1470.56,1454.98,1482.4063333333334,1509.9349979011433,1454.8776687655234,33.073718278924204,Stop,,,-2.0,1459.14,-2918.28
19,2022-09-16 16:59:59.999000064,1456.06,1451.44,1458.24,1446.78,1469.5886666666668,1482.9809676721006,1456.196365661233,31.525261901823583,Buy,1456.07,1442.2,1.0,,1456.07
20,2022-09-16 17:14:59.999000064,1451.44,1458.7,1464.0,1450.26,1469.0403333333334,1482.8184197832052,1455.2622468834616,40.02086748457804,Buy,1451.44,1446.78,1.0,,1451.44
21,2022-09-16 19:59:59.999000064,1473.65,1478.64,1482.18,1470.71,1468.8076666666666,1482.0847433361298,1455.5305899972034,59.48452978870266,Sell,,,-2.0,1482.0847433361298,-2964.1695
22,2022-09-17 01:44:59.999000064,1417.13,1426.73,1433.1,1416.09,1451.3483333333336,1485.6526806120662,1417.043986054601,41.60835850750507,Buy,1417.03,1405.52,1.0,,1417.03
23,2022-09-17 08:29:59.999000064,1439.32,1448.99,1451.66,1436.41,1432.539,1446.088215327741,1418.989784672259,60.016088355423804,Sell,,,-1.0,1446.088215327741,-1446.0882
24,2022-09-18 18:29:59.999000064,1429.1,1436.88,1444.19,1428.01,1451.8213333333333,1467.3357367342542,1436.3069299324125,37.82775362344412,Buy,1429.1,1417.38,1.0,,1429.1
25,2022-09-18 19:14:59.999000064,1431.88,1432.03,1434.48,1430.52,1449.8913333333333,1469.1730191055844,1430.609647561082,34.68652628620907,Buy,1431.88,1429.16,1.0,,1431.88
26,2022-09-18 20:14:59.999000064,1434.02,1428.25,1435.2,1426.0,1447.2076666666665,1469.4850936175771,1424.9302397157558,32.89817120540832,Stop,,,-2.0,1429.16,-2858.32
27,2022-09-19 01:29:59.999000064,1392.4,1391.45,1394.53,1389.36,1423.118,1453.0850042546392,1393.1509957453607,22.86515626024365,Buy,1392.4,1381.39,1.0,,1392.4
28,2022-09-19 01:59:59.999000064,1394.26,1377.62,1394.27,1372.33,1419.9816666666666,1454.8474294656232,1385.11590386771,20.150423482460354,Stop,,,-1.0,1381.39,-1381.39
