,symbol,sl_per,ep_per,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
173,linausdt,1.003,0.995,High,2847.0,541.71,285.18,-47.57,29,5800.0,490.86%,60.09%,5.26,-42.16
197,ftmusdt,0.999,0.995,High,2836.25,778.79,228.59,-27.75,36,7200.0,393.92%,51.87%,3.64,3.51
133,roseusdt,0.999,0.995,High,2710.64,780.85,99.84,-49.93,37,7400.0,366.30%,53.11%,3.47,-16.18
103,imxusdt,0.999,0.99,High,2676.06,1251.24,195.37,-64.4,48,9600.0,278.76%,52.39%,2.14,10.89
188,linausdt,1.011,0.995,Close,2569.83,541.84,285.18,-90.18,29,5800.0,443.07%,65.38%,4.74,-17.72
175,linausdt,1.003,0.99,High,2536.75,1077.39,285.38,-76.98,49,9800.0,258.85%,55.72%,2.35,-101.01
181,linausdt,1.007,0.995,High,2519.3,541.87,285.18,-63.71,29,5800.0,434.36%,62.26%,4.65,-8.4
189,linausdt,1.011,0.995,High,2445.25,541.91,285.18,-79.85,29,5800.0,421.60%,65.38%,4.51,-12.86
165,linausdt,0.999,0.995,High,2420.28,541.92,285.18,-36.05,24,4800.0,504.22%,50.20%,4.47,-8.17
135,roseusdt,0.999,0.99,High,2358.88,1524.26,149.67,-64.32,60,12000.0,196.57%,49.17%,1.55,-11.57
37,crvusdt,0.999,0.995,High,2342.8,676.69,87.19,-25.41,32,6400.0,366.06%,55.87%,3.46,-7.13
101,imxusdt,0.999,0.995,High,2310.95,633.73,67.73,-32.18,28,5600.0,412.67%,54.70%,3.65,38.12
141,roseusdt,1.003,0.995,High,2291.38,781.06,99.84,-61.34,37,7400.0,309.65%,58.32%,2.93,-2.19
167,linausdt,0.999,0.99,High,2287.36,1077.52,285.38,-63.07,49,9800.0,233.40%,49.20%,2.12,-32.63
180,linausdt,1.007,0.995,Close,2279.17,541.99,285.18,-90.18,29,5800.0,392.96%,62.41%,4.21,-11.69
149,roseusdt,1.007,0.995,High,2227.92,781.1,126.83,-62.18,37,7400.0,301.07%,62.12%,2.85,-2.19
39,crvusdt,0.999,0.99,High,2202.08,1371.01,529.53,-63.04,56,11200.0,196.61%,51.14%,1.61,-21.21
221,ftmusdt,1.011,0.995,High,2067.75,776.58,228.59,-70.96,49,9800.0,211.00%,61.58%,2.66,6.35
