,Close_Time,Open,Close,High,Low,Volume,ema_8,ema_14,ema_50,ema_200,atr,slowk,slowd,kd_cross,c1,c2,c3,c4,signal,openbuy,entry_p,stop_loss,take_profit,position,status,profit
0,2023-01-01 15:14:59,1194.81,1194.37,1195.18,1193.63,1675.1834,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
1,2023-01-01 15:29:59,1194.36,1194.6,1194.61,1193.04,1522.0955,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
2,2023-01-01 15:44:59,1194.61,1195.16,1195.17,1193.8,910.7322,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
3,2023-01-01 15:59:59,1195.16,1195.06,1195.75,1194.61,1718.7587,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
4,2023-01-01 16:14:59,1195.07,1194.51,1195.9,1194.5,1266.4382,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
5,2023-01-01 16:29:59,1194.5,1195.28,1195.55,1194.38,652.5502,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
6,2023-01-01 16:44:59,1195.27,1194.29,1195.55,1194.24,619.202,,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
7,2023-01-01 16:59:59,1194.3,1194.28,1194.68,1194.17,586.4118,1194.590538067464,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
8,2023-01-01 17:14:59,1194.27,1194.57,1194.58,1193.98,757.7054,1194.585974052472,,,,0.0,,,False,False,False,False,False,False,False,,,,,,
9,2023-01-01 17:29:59,1194.56,1194.76,1195.62,1194.56,817.1621,1194.624646485256,,,,0.0,,,False,False,True,False,False,False,False,,,,,,
10,2023-01-01 17:44:59,1194.76,1195.98,1195.99,1194.76,450.9908,1194.9258361551992,,,,0.0,,,False,False,True,False,False,False,False,,,,,,
11,2023-01-01 17:59:59,1195.98,1196.48,1196.55,1195.6,738.0895,1195.2712058984882,,,,0.0,,,False,False,True,False,False,False,False,,,,,,
12,2023-01-01 18:14:59,1196.47,1196.29,1196.48,1195.7,489.0501,1195.4976045877129,,,,0.0,,,False,False,True,False,False,False,False,,,,,,
13,2023-01-01 18:29:59,1196.29,1196.21,1196.34,1195.98,380.1043,1195.6559146793322,1195.3147184689028,,,1.0714285714285552,90.31339031339262,,False,False,True,True,False,False,False,,,,,,
14,2023-01-01 18:44:59,1196.22,1195.66,1196.22,1195.59,556.5141,1195.6568225283695,1195.3607560063824,,,1.0398979591836661,74.6438746438782,,False,False,True,True,False,False,False,,,,,,
15,2023-01-01 18:59:59,1195.66,1197.14,1197.19,1195.66,580.9124,1195.9864175220653,1195.597988538865,,,1.0749052478134022,98.52507374631406,87.8274462345283,True,True,True,True,False,False,False,,,,,,
16,2023-01-01 19:14:59,1197.14,1196.92,1197.41,1196.59,1058.8885,1196.1938802949396,1195.774256733683,,,1.0566977301124567,85.71428571428571,86.29441136815933,False,False,True,True,False,False,False,,,,,,
17,2023-01-01 19:29:59,1196.93,1196.16,1196.93,1196.08,618.4101,1196.1863513405085,1195.825689169192,,,1.0419336065330052,63.55685131195403,82.5987369241846,False,False,False,True,False,False,False,,,,,,
18,2023-01-01 19:44:59,1196.16,1196.05,1196.44,1195.81,773.119,1196.1560510426177,1195.8555972799663,,,1.0125097774949412,60.34985422740227,69.873663751214,False,False,False,True,False,False,False,,,,,,
19,2023-01-01 19:59:59,1196.04,1196.34,1196.35,1195.72,403.6366,1196.1969285887026,1195.9201843093042,,,0.9851876505310084,68.80466472302787,64.23712342079472,True,True,True,True,False,False,False,,,,,,
20,2023-01-01 20:14:59,1196.35,1197.21,1197.55,1195.83,1232.322,1196.422055568991,1196.0921597347303,,,1.0376742469216527,90.4761904761926,73.21023647554091,False,False,True,True,False,False,False,,,,,,
21,2023-01-01 20:29:59,1197.21,1197.88,1198.5,1196.73,1598.1078,1196.7460432203263,1196.3305384367663,,,1.0899832292843905,86.28318584071032,81.85468034664359,False,False,True,True,False,False,False,,,,,,
22,2023-01-01 20:44:59,1197.88,1197.02,1198.36,1196.95,908.7877,1196.8069225046984,1196.4224666451976,,,1.1128415700497807,62.436548223350314,79.73197484675107,False,False,True,True,False,False,False,,,,,,
23,2023-01-01 20:59:59,1197.03,1197.17,1197.58,1197.02,679.519,1196.8876063925431,1196.5221377591713,,,1.0733528864747925,64.43850267379882,71.05274557928648,False,False,True,True,False,False,False,,,,,,
24,2023-01-01 21:14:59,1197.16,1196.37,1197.29,1196.21,939.55,1196.7725827497557,1196.5018527246152,,,1.0738276802980165,26.804123711338516,51.226391536162545,False,False,False,True,False,False,False,,,,,,
25,2023-01-01 21:29:59,1196.38,1196.06,1196.38,1195.67,836.4038,1196.6142310275877,1196.442939028,,,1.0478399888481607,16.151202749141376,35.79794304475957,False,False,False,True,False,False,False,,,,,,
26,2023-01-01 21:44:59,1196.06,1194.56,1196.12,1193.54,2497.7123,1196.1577352436793,1196.1918804909333,,,1.1572799896447155,20.56451612903174,21.173280863170543,False,False,False,False,False,False,False,,,,,,
27,2023-01-01 21:59:59,1194.56,1195.26,1195.26,1194.17,530.7829,1195.9582385228618,1196.0676297588088,,,1.1524742760986584,34.677419354839,23.797712744337375,True,True,False,False,False,False,False,,,,,,
28,2023-01-01 22:14:59,1195.26,1195.49,1195.5,1194.69,934.0585,1195.8541855177814,1195.9906124576344,,,1.1280118278058933,39.31451612903289,31.51881720430121,False,False,False,False,False,False,False,,,,,,
29,2023-01-01 22:29:59,1195.49,1195.59,1195.86,1195.43,712.3706,1195.795477624941,1195.9371974632832,,,1.0781538401054607,41.330645161289105,38.44086021505367,False,False,False,False,False,False,False,,,,,,
30,2023-01-01 22:44:59,1195.58,1194.92,1195.63,1194.84,795.6312,1195.6009270416207,1195.8015711348455,,,1.0575714229550843,27.822580645163285,36.15591397849509,False,False,False,False,False,False,False,,,,,,
31,2023-01-01 22:59:59,1194.92,1194.5,1195.3,1194.2,1054.1981,1195.3562765879274,1195.6280283168662,,,1.0606020356011432,19.35483870967801,29.502688172043463,False,False,False,False,False,False,False,,,,,,
32,2023-01-01 23:14:59,1194.5,1195.36,1195.36,1194.5,652.06,1195.3571040128325,1195.5922912079507,,,1.0462733187724829,36.69354838709522,27.95698924731217,True,True,True,False,False,False,False,,,,,,
33,2023-01-01 23:29:59,1195.35,1195.21,1195.51,1194.34,809.1444,1195.324414232203,1195.5413190468905,,,1.0551109388601678,33.669354838710895,29.90591397849471,False,False,False,False,False,False,False,,,,,,
34,2023-01-01 23:44:59,1195.21,1196.08,1196.14,1195.21,736.9041,1195.4923221806025,1195.6131431739718,,,1.0461744432273032,51.20967741935373,40.52419354838661,False,False,True,False,False,False,False,,,,,,
