,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
56,1672535048000,15m,Down,5,5,High,7805.78,4517.94,1778.66,-287.24,22,33492.95,233.06%
107,1672535048000,15m,Down,5,6,Close,7605.89,5183.67,5847.76,-1279.25,57,66219.65,114.86%
67,1672535048000,15m,Down,5,6,High,6921.35,4518.38,2858.58,-1176.52,29,32308.49,214.23%
104,1640999048000,15m,Up,2,4,Close,5474.11,5184.74,3408.8,-1279.25,45,53216.34,102.87%
155,1640999048000,15m,Up,2,4,High,5245.23,10638.58,7090.41,-1482.12,32,42840.87,122.44%
69,1640999048000,15m,Up,2,5,Close,4980.76,4519.35,3701.44,-1176.52,39,44167.78,112.77%
85,1640999048000,15m,Up,2,5,High,4483.09,9707.07,9604.32,-2095.49,95,111056.36,40.37%
99,1640999048000,15m,Up,2,6,Close,3469.74,5185.74,3043.49,-606.83,27,29869.67,116.16%
83,1640999048000,15m,Up,2,6,High,2734.28,9707.95,12106.06,-1062.53,56,136379.91,20.05%
10,1640999048000,15m,Up,3,4,Close,1833.97,636.13,2046.06,-150.78,19,29086.14,63.05%
93,1640999048000,15m,Up,3,4,High,1740.11,5188.4,1977.96,-372.74,19,54362.46,32.01%
95,1640999048000,15m,Up,3,5,Close,1186.15,5188.68,2151.47,-372.74,19,54362.46,21.82%
16,1640999048000,15m,Up,3,5,High,962.39,636.56,2697.8,-384.25,24,36853.69,26.11%
137,1640999048000,15m,Up,3,6,Close,807.6,19922.32,12715.02,-2835.62,56,136379.91,5.92%
20,1640999048000,15m,Up,3,6,High,748.02,1398.32,1368.45,-142.14,32,46269.85,16.17%
102,1640999048000,15m,Up,5,4,Close,711.07,5187.12,2130.33,-1279.25,34,99022.71,7.18%
97,1640999048000,15m,Up,5,4,High,687.2,5187.13,1950.56,-606.83,23,37879.68,18.14%
26,1640999048000,15m,Up,5,5,Close,658.33,1398.37,1071.35,-329.72,37,60988.14,10.79%
140,1640999048000,15m,Up,5,5,High,631.98,19922.41,13394.93,-5003.37,95,111056.36,5.69%
38,1640999048000,15m,Up,5,6,Close,613.37,761.34,738.12,-95.69,23,37879.68,16.19%
91,1640999048000,15m,Up,5,6,High,460.82,5189.04,1950.56,-372.74,17,33855.21,13.61%
18,1640999048000,15m,Any,2,4,Close,447.24,1398.47,871.85,-142.14,28,46432.17,9.63%
8,1640999048000,15m,Any,2,4,High,413.65,636.84,382.57,-150.78,15,23460.0,17.63%
6,1640999048000,15m,Any,2,5,Close,411.76,636.84,277.48,-150.78,15,23460.0,17.55%
36,1640999048000,15m,Any,2,5,High,314.78,761.49,481.07,-102.24,23,37879.68,8.31%
24,1640999048000,15m,Any,2,6,Close,287.2,1398.55,831.12,-329.72,37,60988.14,4.71%
44,1640999048000,15m,Any,2,6,High,248.78,761.53,593.51,-165.87,23,37879.68,6.57%
40,1640999048000,15m,Any,3,4,Close,168.97,761.57,738.12,-95.69,23,37879.68,4.46%
42,1640999048000,15m,Any,3,4,High,132.93,761.58,481.07,-226.27,23,37879.68,3.51%
55,1640999048000,15m,Any,3,5,Close,124.56,4523.56,1594.08,-287.24,19,29103.3,4.28%
2,1640999048000,15m,Any,3,5,High,116.64,636.99,382.57,-73.23,12,20033.35,5.82%
0,1640999048000,15m,Any,3,6,Close,77.18,637.01,210.72,-104.97,10,15281.53,5.05%
22,1640999048000,15m,Any,3,6,High,20.92,1398.68,1368.45,-142.14,32,46269.85,0.45%
17,1640999048000,15m,Any,5,4,Close,-144.2,637.12,2697.8,-280.55,24,36853.69,-3.91%
4,1640999048000,15m,Any,5,4,High,-166.4,637.13,487.97,-73.23,13,20026.67,-8.31%
28,1640999048000,15m,Any,5,5,Close,-214.25,1398.8,1441.56,-329.72,38,62685.71,-3.42%
46,1640999048000,15m,Any,5,5,High,-409.5,761.85,766.45,-165.87,23,37879.68,-10.81%
12,1640999048000,15m,Any,5,6,Close,-474.47,637.28,390.08,-384.25,15,23460.0,-20.22%
131,1640999048000,15m,Any,5,6,High,-566.33,19926.59,11874.36,-1090.87,42,63942.45,-8.86%
3,1640999048000,15m,Down,2,4,Close,-607.88,639.13,382.57,-72.72,10,15281.53,-39.78%
1,1640999048000,15m,Down,2,4,High,-621.69,639.14,210.72,-72.72,10,15281.53,-40.68%
50,1640999048000,15m,Down,2,5,Close,-630.95,761.97,1380.53,-278.47,26,38461.26,-16.40%
45,1640999048000,15m,Down,2,5,High,-807.71,762.05,593.51,-165.87,23,37879.68,-21.32%
14,1640999048000,15m,Down,2,6,Close,-848.12,637.47,471.69,-384.25,15,23460.0,-36.15%
5,1640999048000,15m,Down,2,6,High,-982.08,639.32,487.97,-72.72,12,18525.7,-53.01%
7,1640999048000,15m,Down,3,4,Close,-996.54,637.54,210.72,-150.78,10,15281.53,-65.21%
39,1640999048000,15m,Down,3,4,High,-1046.96,763.97,738.12,-102.24,16,23123.19,-45.28%
9,1640999048000,15m,Down,3,5,Close,-1068.12,637.58,382.57,-150.78,14,23108.46,-46.22%
81,1640999048000,15m,Down,3,5,High,-1088.5,9709.86,4422.84,-1062.53,55,60376.55,-18.03%
43,1640999048000,15m,Down,3,6,Close,-1099.03,762.2,481.07,-226.27,23,37879.68,-29.01%
52,1640999048000,15m,Down,3,6,High,-1121.58,762.21,2891.79,-273.03,38,57086.7,-19.65%
61,1640999048000,15m,Down,5,4,Close,-1133.27,4522.41,1594.08,-432.12,19,29103.3,-38.94%
13,1640999048000,15m,Down,5,4,High,-1383.89,637.74,277.48,-280.55,15,23460.0,-58.99%
27,1640999048000,15m,Down,5,5,Close,-1408.46,1399.4,1071.35,-329.72,37,60988.14,-23.09%
57,1640999048000,15m,Down,5,5,High,-1432.54,4524.34,1778.66,-287.24,21,32026.56,-44.73%
37,1640999048000,15m,Down,5,6,Close,-1468.15,764.18,202.83,-102.24,11,18023.59,-81.46%
11,1640999048000,15m,Down,5,6,High,-1506.52,637.8,487.97,-150.78,14,23108.46,-65.19%
41,1609463048000,15m,Up,2,4,Close,-1515.2,764.2,738.12,-102.24,16,23123.19,-65.53%
115,1609463048000,15m,Up,2,4,High,-1537.28,9282.29,3558.93,-910.35,22,85569.14,-17.97%
111,1609463048000,15m,Up,2,5,Close,-1545.99,9284.08,4060.93,-345.77,21,32026.56,-48.27%
25,1609463048000,15m,Up,2,5,High,-1559.33,1399.47,831.12,-329.72,37,60988.14,-25.57%
47,1609463048000,15m,Up,2,6,Close,-1564.01,762.43,593.51,-165.87,23,37879.68,-41.29%
