,start_time,interval,kd_direction,sl_atr,tp_atr,sl_determine,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%
220,1641028611000,15m,Any,5,5,Close,25192.41,9714.36,13394.93,-2095.49,95,111056.36,226.84%
300,1641028611000,1h,Any,3,5,Close,24989.79,2529.8,8195.8,-1311.36,50,113352.86,220.46%
402,1609492611000,15m,Any,4,4,Close,24911.08,19930.91,11672.41,-3919.5,88,102573.1,242.86%
294,1641028611000,1h,Any,2,6,Close,24458.05,2530.07,8605.97,-875.36,49,124921.11,195.79%
350,1641028611000,1h,Up,5,6,Close,24402.96,1168.67,22223.97,-1317.93,49,110468.51,220.90%
495,1609492611000,1h,Any,3,6,High,24261.36,4956.11,37032.93,-2849.98,71,170207.2,142.54%
366,1641028611000,1h,Down,3,6,Close,24037.64,1349.41,11057.18,-706.07,40,95182.83,252.54%
204,1641028611000,15m,Any,3,5,Close,23977.58,9714.97,6111.0,-1062.53,55,60376.55,397.13%
560,1609492611000,1h,Down,4,3,Close,23880.2,2628.96,6394.94,-1469.77,18,20048.24,1191.14%
375,1641028611000,1h,Down,4,6,High,23727.34,1349.56,11189.41,-948.29,40,95182.83,249.28%
408,1609492611000,15m,Any,5,3,Close,23553.07,19931.59,11382.43,-5003.37,61,72832.56,323.39%
348,1641028611000,1h,Up,5,5,Close,23498.14,1169.12,12001.97,-1317.93,25,49422.04,475.46%
501,1609492611000,1h,Any,4,5,High,23444.8,4956.52,49311.38,-3031.09,53,78025.41,300.48%
254,1641028611000,15m,Up,5,6,Close,23223.64,4519.04,7899.66,-1176.52,50,57528.53,403.69%
450,1609492611000,15m,Down,2,4,Close,22932.83,10639.33,3168.61,-702.07,23,89238.13,256.98%
218,1641028611000,15m,Any,5,4,Close,22888.71,9715.51,9604.32,-2095.49,95,111056.36,206.10%
540,1609492611000,1h,Up,5,5,Close,22836.19,2315.93,21643.52,-2771.31,31,61830.53,369.34%
422,1609492611000,15m,Up,2,6,Close,22819.44,9281.16,5380.7,-345.77,22,33492.95,681.32%
456,1609492611000,15m,Down,3,3,Close,22652.56,10639.47,3258.87,-1482.12,19,25211.86,898.49%
372,1641028611000,1h,Down,4,5,Close,22394.58,1350.23,7732.67,-1192.79,29,65456.12,342.13%
452,1609492611000,15m,Down,2,5,Close,22279.84,10639.66,6154.95,-702.07,25,96693.99,230.42%
542,1609492611000,1h,Up,5,6,Close,22196.66,2316.25,23695.71,-2771.31,49,110468.51,200.93%
223,1641028611000,15m,Any,5,6,High,22157.66,9715.88,14247.58,-2095.49,103,119568.94,185.31%
498,1609492611000,1h,Any,4,4,Close,22100.65,4957.19,32834.37,-3031.09,50,113352.86,194.97%
568,1609492611000,1h,Down,5,3,Close,21991.41,2629.91,6394.94,-1930.28,18,38462.93,571.76%
404,1609492611000,15m,Any,4,5,Close,21938.16,19932.4,12759.42,-3919.5,88,102573.1,213.88%
420,1609492611000,15m,Up,2,5,Close,21893.4,9281.63,4884.83,-345.77,22,33492.95,653.67%
278,1641028611000,15m,Down,4,6,Close,21888.25,5185.37,5861.02,-1088.48,52,60163.72,363.81%
216,1641028611000,15m,Any,5,3,Close,21273.47,9716.32,3909.13,-2095.49,61,72832.56,292.09%
524,1609492611000,1h,Up,3,5,Close,21227.44,2316.73,14799.61,-1384.77,24,61046.47,347.73%
428,1609492611000,15m,Up,3,5,Close,21169.91,9281.99,4884.83,-889.35,35,39988.54,529.40%
376,1641028611000,1h,Down,5,3,Close,21075.4,1350.89,6394.94,-1536.3,18,20048.24,1051.23%
509,1609492611000,1h,Any,5,5,High,21023.92,4957.73,53035.39,-4002.2,69,151124.34,139.12%
426,1609492611000,15m,Up,3,4,Close,21000.92,9282.07,3558.93,-910.35,25,28129.25,746.59%
368,1641028611000,1h,Down,4,3,Close,20985.51,1350.93,6394.94,-1346.84,18,20048.24,1046.75%
198,1641028611000,15m,Any,2,6,Close,20973.62,9716.47,4470.04,-476.55,44,66877.97,313.61%
210,1641028611000,15m,Any,4,4,Close,20860.06,9716.53,8596.48,-1753.06,88,102573.1,203.37%
480,1609492611000,1h,Any,2,3,Close,20717.16,4957.89,7004.15,-1585.63,23,67961.65,304.84%
317,1641028611000,1h,Any,5,5,High,20587.09,2532.0,14340.46,-2924.17,69,151124.34,136.23%
