,symbol,interval,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
170,adausdt,15m,4.0,3,Close,0.11,0.03,0.06,-0.03,5,1.59,69.54%,65.12%,3.33,-0.03
169,adausdt,15m,3.0,12,Close,0.1,0.03,0.14,-0.08,6,2.02,48.52%,26.47%,2.96,-0.21
32,nearusdt,1h,1.0,7,Close,0.09,0.01,0.28,-0.12,2,4.51,20.41%,25.00%,6.75,-0.05
163,adausdt,15m,2.0,9,Close,0.06,0.03,0.09,-0.07,5,1.68,33.65%,26.83%,1.71,-0.16
161,adausdt,15m,2.0,5,Close,0.06,0.03,0.06,-0.07,4,1.53,39.34%,42.55%,1.82,-0.1
160,adausdt,15m,2.0,3,Close,0.05,0.03,0.04,-0.07,4,1.53,30.10%,51.02%,1.39,-0.09
44,nearusdt,1h,3.0,12,Close,0.05,0.01,0.48,-0.2,2,4.51,10.18%,25.00%,3.37,-0.21
2,nearusdt,15m,0.5,7,Close,0.05,0.41,0.45,-0.17,3,7.46,6.78%,32.81%,0.12,-0.27
167,adausdt,15m,3.0,7,Close,0.04,0.03,0.08,-0.08,6,2.02,19.48%,34.29%,1.19,-0.12
25,nearusdt,1h,0.5,3,Close,0.03,0.01,0.12,-0.04,1,4.41,6.23%,40.00%,2.02,-0.05
37,nearusdt,1h,2.0,7,Close,0.03,0.01,0.28,-0.14,2,4.51,7.55%,25.00%,2.5,-0.14
46,nearusdt,1h,4.0,5,Close,0.01,0.01,0.3,-0.38,2,4.51,2.58%,50.00%,0.85,-0.39
31,nearusdt,1h,1.0,5,Close,0.01,0.01,0.2,-0.12,2,4.51,2.51%,25.00%,0.83,-0.05
127,avaxusdt,1h,0.5,7,Close,-0.01,0.22,0.63,-0.42,1,85.19,-0.08%,50.00%,-0.03,-0.62
176,adausdt,1h,0.5,5,Close,-0.02,0.01,0.0,-0.01,1,1.09,-21.75%,21.43%,-3.53,-0.02
187,adausdt,1h,2.0,7,Close,-0.02,0.01,0.03,-0.02,2,0.77,-30.22%,27.27%,-3.47,-0.04
179,adausdt,1h,0.5,12,Close,-0.02,0.01,0.0,-0.01,1,1.09,-21.75%,21.43%,-3.53,-0.02
178,adausdt,1h,0.5,9,Close,-0.02,0.01,0.0,-0.01,1,1.09,-21.75%,21.43%,-3.53,-0.02
177,adausdt,1h,0.5,7,Close,-0.02,0.01,0.0,-0.01,1,1.09,-21.75%,21.43%,-3.53,-0.02
189,adausdt,1h,2.0,12,Close,-0.02,0.01,0.05,-0.02,3,1.19,-17.20%,30.00%,-3.04,-0.04
186,adausdt,1h,2.0,5,Close,-0.02,0.01,0.02,-0.02,2,0.77,-22.19%,36.36%,-2.55,-0.05
175,adausdt,1h,0.5,3,Close,-0.02,0.01,0.0,-0.01,1,1.09,-21.75%,21.43%,-3.53,-0.02
181,adausdt,1h,1.0,5,Close,-0.03,0.01,0.01,-0.01,2,0.73,-35.50%,23.08%,-3.86,-0.03
180,adausdt,1h,1.0,3,Close,-0.03,0.01,0.01,-0.01,2,0.73,-41.39%,23.08%,-4.5,-0.03
165,adausdt,15m,3.0,3,Close,-0.03,0.03,0.04,-0.08,5,1.59,-16.78%,56.82%,-0.81,-0.13
168,adausdt,15m,3.0,9,Close,-0.03,0.03,0.1,-0.08,6,2.02,-12.54%,26.47%,-0.77,-0.21
166,adausdt,15m,3.0,5,Close,-0.03,0.03,0.06,-0.08,5,1.59,-21.95%,45.00%,-1.05,-0.14
188,adausdt,1h,2.0,9,Close,-0.03,0.01,0.04,-0.02,3,1.19,-27.05%,30.00%,-4.78,-0.04
183,adausdt,1h,1.0,9,Close,-0.04,0.01,0.0,-0.01,2,0.73,-49.60%,23.08%,-5.39,-0.04
182,adausdt,1h,1.0,7,Close,-0.04,0.01,0.0,-0.01,2,0.73,-49.60%,23.08%,-5.39,-0.04
184,adausdt,1h,1.0,12,Close,-0.04,0.01,0.0,-0.01,2,0.73,-49.60%,23.08%,-5.39,-0.04
185,adausdt,1h,2.0,3,Close,-0.04,0.01,0.01,-0.02,2,0.77,-55.34%,36.36%,-6.36,-0.06
36,nearusdt,1h,2.0,5,Close,-0.05,0.01,0.2,-0.14,2,4.51,-10.36%,25.00%,-3.44,-0.14
30,nearusdt,1h,1.0,3,Close,-0.07,0.01,0.12,-0.12,2,4.51,-15.41%,25.00%,-5.13,-0.07
191,adausdt,1h,3.0,5,Close,-0.08,0.01,0.03,-0.05,2,0.71,-111.42%,40.00%,-11.87,-0.11
