Open_Time,Open,Close,High,Low,Volume
2023-05-11 20:00:00,1820.83,1807.7,1839.0,1785.5,155430.93
2023-05-12 00:00:00,1807.7,1784.46,1810.48,1772.68,127252.1146
2023-05-12 04:00:00,1784.47,1794.3,1801.2,1782.39,47482.496
2023-05-12 08:00:00,1794.31,1763.25,1801.99,1758.21,80804.0446
2023-05-12 12:00:00,1763.25,1759.47,1770.03,1740.0,146342.5061
2023-05-12 16:00:00,1759.48,1764.86,1771.87,1755.29,58603.2783
2023-05-12 20:00:00,1764.86,1765.55,1783.23,1761.08,75231.1442
2023-05-13 00:00:00,1765.54,1790.01,1794.96,1742.69,104492.2131
2023-05-13 04:00:00,1790.0,1807.45,1818.63,1781.31,100066.6446
2023-05-13 08:00:00,1807.45,1805.61,1817.03,1801.16,41245.3238
2023-05-13 12:00:00,1805.62,1802.98,1806.84,1796.8,30365.3283
2023-05-13 16:00:00,1802.98,1803.78,1811.46,1801.24,29164.0211
2023-05-13 20:00:00,1803.79,1795.9,1809.91,1785.23,46713.5684
2023-05-14 00:00:00,1795.91,1792.83,1806.45,1786.12,40715.0401
2023-05-14 04:00:00,1792.84,1795.11,1804.89,1792.38,24692.1556
2023-05-14 08:00:00,1795.12,1803.89,1805.8,1789.82,30429.6592
2023-05-14 12:00:00,1803.88,1805.21,1809.84,1800.94,26312.1389
2023-05-14 16:00:00,1805.21,1802.05,1806.79,1799.91,20055.3376
2023-05-14 20:00:00,1802.04,1819.05,1824.0,1797.5,59990.3235
2023-05-15 00:00:00,1819.06,1796.32,1821.87,1792.4,52934.1708
2023-05-15 04:00:00,1796.32,1799.21,1802.41,1791.45,28379.4677
2023-05-15 08:00:00,1799.2,1826.09,1835.85,1785.05,119395.323
2023-05-15 12:00:00,1826.1,1828.72,1834.47,1819.21,68539.0042
2023-05-15 16:00:00,1828.73,1824.39,1836.06,1823.87,35864.5256
2023-05-15 20:00:00,1824.39,1827.84,1836.28,1812.97,56150.2437
2023-05-16 00:00:00,1827.85,1828.74,1846.7,1823.73,77431.6616
2023-05-16 04:00:00,1828.74,1816.2,1829.75,1813.0,30791.168
2023-05-16 08:00:00,1816.21,1813.53,1822.69,1796.2,79138.1203
2023-05-16 12:00:00,1813.53,1822.68,1823.61,1806.03,44649.4695
2023-05-16 16:00:00,1822.68,1816.53,1827.18,1811.67,41678.3576
2023-05-16 20:00:00,1816.54,1820.2,1823.24,1810.0,59329.2776
2023-05-17 00:00:00,1820.2,1816.8,1832.64,1814.34,57312.2353
2023-05-17 04:00:00,1816.79,1824.21,1829.34,1814.84,29131.2183
2023-05-17 08:00:00,1824.21,1823.82,1837.5,1817.71,39572.8478
2023-05-17 12:00:00,1823.81,1807.75,1826.69,1803.33,40828.3297
2023-05-17 16:00:00,1807.74,1790.2,1808.56,1788.1,81382.9367
2023-05-17 20:00:00,1790.2,1797.24,1800.35,1783.68,61359.8798
2023-05-18 00:00:00,1797.24,1828.1,1833.93,1794.68,88023.8702
2023-05-18 04:00:00,1828.11,1822.12,1835.37,1819.26,40930.1271
2023-05-18 08:00:00,1822.12,1826.59,1827.82,1818.28,28953.3886
2023-05-18 12:00:00,1826.58,1827.1,1831.92,1814.92,34841.0183
2023-05-18 16:00:00,1827.1,1825.43,1830.0,1823.24,26110.8602
2023-05-18 20:00:00,1825.44,1807.99,1827.18,1805.11,58850.6413
2023-05-19 00:00:00,1807.99,1795.2,1812.7,1771.12,95554.8665
2023-05-19 04:00:00,1795.2,1800.56,1821.36,1793.57,49444.5361
2023-05-19 08:00:00,1800.56,1801.35,1807.59,1796.81,30749.276
2023-05-19 12:00:00,1801.35,1805.62,1810.53,1799.13,31175.6051
2023-05-19 16:00:00,1805.61,1807.5,1811.87,1804.99,31445.1914
2023-05-19 20:00:00,1807.5,1815.45,1829.54,1800.81,94220.3595
2023-05-20 00:00:00,1815.46,1811.44,1822.87,1806.97,41704.5359
2023-05-20 04:00:00,1811.44,1812.32,1815.82,1809.41,13821.4997
2023-05-20 08:00:00,1812.31,1813.43,1813.7,1807.06,15922.0207
2023-05-20 12:00:00,1813.43,1811.19,1813.94,1808.41,15035.3496
2023-05-20 16:00:00,1811.18,1813.39,1815.99,1811.18,17593.5419
2023-05-20 20:00:00,1813.38,1817.5,1820.77,1812.69,27075.7556
2023-05-21 00:00:00,1817.5,1821.33,1828.87,1813.5,35215.9291
2023-05-21 04:00:00,1821.33,1819.42,1822.66,1812.07,16911.838
2023-05-21 08:00:00,1819.42,1817.88,1828.98,1816.78,24427.0042
2023-05-21 12:00:00,1817.87,1817.0,1818.13,1813.51,17336.6135
2023-05-21 16:00:00,1816.99,1809.48,1817.36,1806.54,32181.4645
2023-05-21 20:00:00,1809.49,1807.33,1817.76,1802.58,32606.3449
2023-05-22 00:00:00,1807.34,1810.08,1810.53,1802.37,23518.069
2023-05-22 04:00:00,1810.07,1804.91,1811.72,1797.21,31448.3092
2023-05-22 08:00:00,1804.91,1800.98,1806.76,1792.01,39626.5192
2023-05-22 12:00:00,1800.98,1811.19,1815.0,1800.78,27513.1781
2023-05-22 16:00:00,1811.19,1814.32,1820.17,1810.7,37381.1985
2023-05-22 20:00:00,1814.32,1816.37,1828.27,1808.54,59194.2638
