,Close_Time,Open,Close,High,Low,sma,bb_u,bb_l,rsi,position,entry_p,stop_loss,size,exit_p,amt
0,2022-12-01 23:44:59.999000064,1267.35,1268.91,1270.94,1264.02,1280.7456666666667,1291.9414166737997,1269.5499166595337,35.384559095694655,Buy,1267.36,1262.77,1.0,,1267.36
1,2022-12-01 23:59:59.999000064,1268.92,1271.54,1272.09,1268.13,1280.4746666666667,1292.1449716993363,1268.8043616339971,39.97926441177523,Buy,1268.91,1264.02,1.0,,1268.91
2,2022-12-02 06:29:59.999000064,1275.28,1278.26,1283.94,1275.28,1273.441,1279.1605952071236,1267.7214047928765,56.567187798567936,Sell,,,-2.0,1279.1605952071236,-2558.3212
3,2022-12-03 15:59:59.999000064,1277.0,1276.08,1277.9,1275.67,1285.8976666666665,1293.561524152,1278.233809181333,32.184257853462256,Buy,1277.01,1273.36,1.0,,1277.01
4,2022-12-03 16:29:59.999000064,1275.5,1275.69,1276.23,1274.59,1284.841,1293.4639590435434,1276.2180409564564,31.992558311405176,Buy,1275.5,1272.76,1.0,,1275.5
5,2022-12-03 16:44:59.999000064,1275.69,1272.76,1275.69,1271.78,1284.3316666666665,1293.892698805276,1274.770634528057,28.163100805901607,Buy,1275.69,1274.59,1.0,,1275.69
6,2022-12-03 16:59:59.999000064,1272.77,1269.38,1273.93,1266.79,1283.7153333333333,1294.5795654532549,1272.8511012134118,24.517287193635354,Stop,,,-3.0,1274.59,-3823.77
7,2022-12-03 17:29:59.999000064,1271.48,1272.78,1272.79,1270.16,1282.629,1294.6014331695774,1270.6565668304224,34.041253538763286,Buy,1271.47,1265.82,1.0,,1271.47
8,2022-12-03 23:29:59.999000064,1270.79,1273.42,1275.2,1270.78,1271.2419999999997,1275.1217711272936,1267.3622288727058,52.598658287458456,Sell,,,-1.0,1275.1217711272936,-1275.1218
9,2022-12-04 05:29:59.999000064,1259.73,1258.25,1261.96,1258.02,1268.09,1274.6887776646045,1261.4912223353954,26.31926188146187,Buy,1259.74,1252.56,1.0,,1259.74
10,2022-12-04 05:59:59.999000064,1257.51,1261.24,1261.41,1257.51,1267.3603333333333,1275.1734462141967,1259.54722045247,38.05426683959434,Buy,1257.52,1255.83,1.0,,1257.52
11,2022-12-04 06:44:59.999000064,1257.68,1240.09,1257.69,1237.0,1265.592,1278.5347234640515,1252.6492765359487,17.411900350299547,Stop,,,-2.0,1255.83,-2511.66
12,2022-12-04 07:14:59.999000064,1242.02,1239.67,1243.1,1238.75,1263.4603333333334,1280.753957964658,1246.166708702009,20.284818289679407,Buy,1242.01,1236.26,1.0,,1242.01
13,2022-12-04 07:44:59.999000064,1240.75,1242.22,1242.66,1236.91,1261.5133333333333,1281.4847344414807,1241.541932225186,26.00914472782155,Buy,1240.75,1238.04,1.0,,1240.75
14,2022-12-04 22:59:59.999000064,1255.28,1259.55,1261.56,1255.13,1256.6123333333333,1261.0084488409054,1252.216217825761,57.88476959599461,Sell,,,-2.0,1261.0084488409054,-2522.0169
15,2022-12-05 20:59:59.999000064,1289.71,1290.31,1290.91,1288.98,1295.827,1301.8560234698552,1289.7979765301448,40.410409723628376,Buy,1289.72,1287.31,1.0,,1289.72
16,2022-12-05 21:59:59.999000064,1291.0,1285.83,1291.39,1282.28,1294.9433333333332,1302.534862530776,1287.3518041358902,33.34466896612851,Stop,,,-1.0,1287.31,-1287.31
17,2022-12-05 23:44:59.999000064,1264.38,1265.83,1266.19,1259.19,1290.4106666666667,1309.680549858381,1271.1407834749523,22.566253327826843,Buy,1264.38,1261.27,1.0,,1264.38
18,2022-12-05 23:59:59.999000064,1265.83,1266.59,1266.82,1264.5,1289.2429999999997,1309.853141937084,1268.6328580629154,24.148645267026026,Buy,1265.83,1259.19,1.0,,1265.83
19,2022-12-06 00:14:59.999000064,1266.59,1268.81,1269.55,1263.82,1288.0770000000002,1309.2144556337034,1266.939544366297,28.730205105080046,Buy,1266.59,1264.5,1.0,,1266.59
20,2022-12-06 00:29:59.999000064,1268.81,1261.95,1269.04,1255.0,1286.754,1309.254653383108,1264.2533466168918,23.921812432266563,Stop,,,-3.0,1264.5,-3793.5
21,2022-12-06 00:44:59.999000064,1261.95,1263.02,1263.93,1260.87,1285.5613333333336,1309.148387824212,1261.974278842455,26.00210730051957,Buy,1261.95,1255.0,1.0,,1261.95
