,symbol,interval,kd_dir,sl_atr,tp_atr,sl_det,Profit,Fee,Max_Profit,Max_Loss,Max_Entry,Max_Position,Profit_%,Win_Rate,PF_Ratio,Max_Drawdown
112,ftmusdt,15m,Up,1,3,Close,-251.54,84.12,21.73,-16.37,4,800.0,-314.42%,26.51%,-2.99,1.02
228,woousdt,15m,Any,3,3,Close,-252.46,70.91,71.28,-32.73,8,1600.0,-157.79%,48.54%,-3.56,1.24
252,woousdt,15m,Up,7,3,Close,-256.38,67.11,71.28,-82.35,8,1600.0,-160.24%,72.82%,-3.82,1.53
219,woousdt,1h,Up,5,12,Close,-259.39,12.88,197.89,-102.45,7,1400.0,-185.28%,20.00%,-20.14,1.0
154,sandusdt,1h,Up,5,9,Close,-259.96,13.48,76.42,-108.23,6,1200.0,-216.64%,33.33%,-19.29,1.0
43,ethusdt,15m,Any,5,12,Close,-262.49,100.92,112.17,-53.14,11,2200.0,-119.31%,25.74%,-2.6,1.18
248,woousdt,15m,Up,5,3,Close,-265.71,67.1,71.28,-82.35,8,1600.0,-166.07%,63.77%,-3.96,1.26
281,dydxusdt,1h,Up,5,5,Close,-269.52,16.47,154.46,-174.32,8,1600.0,-168.45%,45.45%,-16.36,1.99
105,ftmusdt,15m,Any,5,5,Close,-270.61,89.51,127.81,-67.4,12,2400.0,-112.75%,45.74%,-3.02,1.16
139,sandusdt,1h,Any,5,12,Close,-276.19,14.27,101.45,-108.23,6,1200.0,-230.16%,27.78%,-19.36,1.0
265,dydxusdt,1h,Any,5,5,Close,-277.37,17.67,154.46,-174.32,8,1600.0,-173.36%,45.83%,-15.7,1.94
46,ethusdt,15m,Any,7,9,Close,-282.49,100.91,93.71,-87.53,11,2200.0,-128.40%,41.54%,-2.8,1.38
121,ftmusdt,15m,Up,5,5,Close,-284.68,83.9,115.44,-67.4,11,2200.0,-129.40%,46.79%,-3.39,1.15
170,sandusdt,15m,Any,5,9,Close,-291.56,78.69,122.13,-58.19,7,1400.0,-208.26%,29.51%,-3.7,1.53
96,ftmusdt,15m,Any,1,3,Close,-293.69,89.7,21.73,-24.02,7,1400.0,-209.78%,26.48%,-3.27,1.02
185,sandusdt,15m,Up,5,5,Close,-293.82,74.49,65.32,-58.19,7,1400.0,-209.87%,45.67%,-3.94,1.11
62,ethusdt,15m,Up,7,9,Close,-296.14,93.7,71.19,-87.53,9,1800.0,-164.52%,41.58%,-3.16,1.32
284,dydxusdt,1h,Up,7,3,Close,-300.52,16.66,67.32,-125.45,6,1200.0,-250.44%,64.71%,-18.04,1.19
254,woousdt,15m,Up,7,9,Close,-303.81,67.08,124.27,-82.72,10,2000.0,-151.90%,42.75%,-4.53,1.08
113,ftmusdt,15m,Up,1,5,Close,-306.88,84.09,37.88,-16.37,4,800.0,-383.60%,16.91%,-3.65,1.0
120,ftmusdt,15m,Up,5,3,Close,-307.07,83.89,37.0,-67.4,8,1600.0,-191.92%,62.20%,-3.66,1.16
